No,Concepto,Definición
11,Agua subterránea,"Agua dulce encontrada debajo de la superficie terrestre, normalmente en mantos acuíferos, los cuales abastecen a pozos y manantiales.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
12,Alcantarillado,"Conjunto de conductos subterráneos llamados alcantarillas, que transportan el agua residual o pluvial.

Fuente: 
SD. (SD). Abastecimiento de Agua Potable y Alcantarillado. México: SD.

"
13,Alineamiento,"La delimitación sobre un área, lote o predio en el frente a la vía pública o privada en uso o proyecto, que define la posición permisible del inicio de la superficie edificable, respetando en su caso, las restricciones que se hayan establecido de acuerdo a la legislación y en los programas aplicables. El alineamiento oficial se consignará en la constancia municipal de compatibilidad urbanística.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes, Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
14,Alumbrado público,"Luminarias que colocan las autoridades de gobierno en las vialidades con el fin proporcionar visibilidad nocturna.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
15,Analfabetismo,"Falta de instrucción elemental en un país, referida especialmente al número de sus ciudadanos que no saben leer.

Fuente: 
Real Academia Española. Diccionario de la Lengua Española.

Sitio(s) web:
http://dle.rae.es/?id=2Vc97Mk
"
16,Análisis de vulnerabilidad,"Es el proceso mediante el cual se determina el nivel de exposición y la predisposición a la pérdida de un elemento o grupo de elementos ante una amenaza específica; contribuye al conocimiento del riesgo a través de interacciones de dichos elementos con el ambiente peligroso.

Fuente: 
Hábitat International Coalition. América Latina (HIC-AL). (2017). Glosario. 18 de diciembre de 2017, de HIC-AL.

Sitio(s) web:
https://www.desenredando.org/public/libros/1993/ldnsn/html/cap3.htm
"
17,Análisis urbano,"Estudio que tiene por objeto conocer la composición y funcionamiento de la estructura urbana en sus aspectos físico, económico, ambiental y social.

Fuente: 
Normand Eduardo Asuad. (SD). El Fenómeno Metropolitano: Enfoques, Desafíos y Soluciones. México: SD.

"
18,Andadores,"Vía destinada exclusivamente al tránsito de peatones, equipada con mobiliario urbano, de uso público y que puede contar, o no, con áreas ajardinadas o elementos ornamentales para su mejora y disfrute.

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de ordenamiento territorial y desarrollo urbano.

"
19,Aprovechamiento sustentable,"La utilización de los elementos naturales de forma eficiente y socialmente útil, en la que se respete la integridad funcional y permanencia de carga de los ecosistemas, de los que forman parte dichos elementos, por períodos indefinidos.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
20,Área de conservación,"Un área de especial interés debido a su vida silvestre, rasgos naturales o valor histórico que es protegida por leyes o regulaciones para salvaguardar y conservar su carácter, viabilidad y apariencia para futuras generaciones.

Fuente: 
Tesauro 2013 de la Biblioteca Agrícola Nacional de los Estados Unidos. (2013). Glosario del Boletín Agrario. de Boletín Agrario.com.

Sitio(s) web:
https://boletinagrario.com/ap-6,areas+de+conservacion,1436.html
"
21,Aptitud del territorio,"El mejor uso que se le puede dar al suelo, tomando en cuenta sus atributos naturales y socioeconómicos.

Fuente: 
Honorable Congreso del Estado de Sonora. (2006). Ley de Ordenamiento Territorial y Desarrollo Urbano del Estado de Sonora. de El H. Congreso del Estado Libre y Soberano de Sonora

Sitio(s) web:
http://www.proteccioncivil.sonora.gob.mx/images/ordenamientoterritorial.pdf
"
22,Áreas prioritarias,"Son los sitios en los que se enfocan los esfuerzos para generar la mayor cantidad de beneficios de tipo ambiental y social, optimizando así los recursos económicos y humanos en pro de una conservación eficaz.

Fuente: 
Orinoco Sostenible. (2020). Áreas prioritarias. de Orinoco Sostenible

Sitio(s) web:
https://conservacionfpo.org/about/areas
"
23,Área construida,"Sumatoria del área construida en cada uno de los niveles de un inmueble.

Fuente: 
Oficina del Historiador de la Habana, Plan Maestro. Glosario de términos urbanísticos.

Sitio(s) web:
http://www.planmaestro.ohc.cu/index.php/instrumentos/glosario
"
24,Áreas de beneficio o afectación,"Las generadas por las acciones de fundación, conservación, mejoramiento y crecimiento; su determinación y delimitación tiene por efectos demarcar los predios o fincas a cuyos titulares corresponderán los derechos y las obligaciones específicas por la ejecución de esas acciones, las cuales se establecen con el fin de distribuir en forma equitativa, proporcional y justa, sus costos, servicios o provechos.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes

"
25,Áreas de donación,"Las cesiones gratuitas de terrenos con o sin edificaciones por parte de los fraccionadores o promotores a los municipios para infraestructura, equipamiento, vialidad, servicios, áreas verdes, de recreación y espacios abiertos en los fraccionamientos, condominios, desarrollos inmobiliarios especiales o subdivisiones.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes

"
26,Área de expansión urbana,"Es la superficie de un territorio determinada para albergar la población futura de un centro urbano. Generalmente se determina en el área inmediata y se programa su ocupación por etapas.

Fuente: 
Ministerio de Vivienda, Construcción y Saneamiento. Manual para la elaboración de planes de desarrollo urbano. Glosario.

Sitio(s) web:
http://www.cap.org.pe/pdfsminv/glosario.pdf
"
27,Área de gestión urbana integral,"Las que se identifiquen y determinen en los programas de desarrollo urbano y ordenamiento territorial, por sus características naturales o histórico patrimoniales, su problemática urbanística o por constituir espacios estratégicos para el desarrollo urbano de los centros de población, por lo cual se hace necesaria su promoción coordinada e integral. Estas áreas se desarrollarán mediante una asociación, organismo o entidad, en cuya constitución podrán participar personas físicas o jurídicas, públicas o privadas.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
28,Área de influencia,"Es la zona sobre la que se ejercen las funciones urbanas, es decir, el área a la que una ciudad abastece de bienes y servicios. El área puede ser más o menos extensa, dependiendo del grado de diversidad y especialización de las funciones urbanas.

Fuente: 
Vocabulario. Tema 9. El espacio Urbano.

Sitio(s) web:
https://studylib.es/doc/4616819/vocabulario-tema-9--el-espacio-urbano
"
29,Áreas de preservación ecológica,"Las tierras, aguas y bosques que por sus características de valor científico, ambiental o paisajístico deben ser conservadas.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
30,Áreas de restricción o amortiguamiento,"Son los espacios que por razones de seguridad o requerimiento de infraestructura, equipamiento y servicios están condicionados a usos, destinos y giros diferentes a las áreas que los circundan.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
31,Áreas de uso común,"Predio o superficie, infraestructura, equipamiento, mobiliario o equipo ubicados dentro de un condominio, que pertenecen en forma proindiviso a los condóminos o en especial a un conjunto de ellos, destinadas a la realización de obras o instalaciones complementarias de beneficio colectivo, relativas a la cultura, educación, esparcimiento, deporte, asistencial, de seguridad estructural o funcionalidad constructiva, infraestructura para la movilidad u otras de carácter análogo.

Fuente: 
Suprema Corte de Justicia de la Nación. Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. (Art. 4 Frac. XI).

Sitio(s) web:
http://legislacion.scjn.gob.mx/Buscador/Paginas/wfArticuladoFast.aspx?q=Wct5OSsXp/CsyLrt7V+fcbWdWvgOsC
"
32,Área Geoestadística Básica (AGEB),"Cada una de las áreas geográficas en que se divide al municipio y cuyos límites son definidos por el INEGI para georreferenciar la información estadística, conformar marcos de muestreo y organizar el trabajo operativo de censos y encuestas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014, Glosario de las características de las localidades.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=localidades
"
33,Área Geoestadística Estatal (AGEE),"Representación territorial de cada entidad federativa, definida por delimitaciones geoestadísticas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Diccionario de datos del Marco Geoestadístico 2022.

Sitio(s) web:
https://en.www.inegi.org.mx/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/nueva_estruc/
"
34,Área Geoestadística Municipal (AGEM),"Representación territorial de cada municipio del país y demarcación territorial en la Ciudad de México, definida por delimitaciones geoestadísticas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Diccionario de datos del Marco Geoestadístico 2022.

Sitio(s) web:
https://en.www.inegi.org.mx/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/nueva_estruc/
"
35,Área Geoestadística Rural,"Subdivisión de las áreas geoestadísticas municipales que se ubican en la parte rural, cuya extensión territorial es variable y se caracteriza por el uso del suelo de tipo agropecuario o forestal. Contiene localidades rurales y extensiones naturales como pantanos, lagos, desiertos y otros; está delimitada por lo general por rasgos naturales (ríos, arroyos, barrancas, etcétera) y culturales (vías de ferrocarril, líneas de conducción eléctrica, carreteras, brechas, veredas, ductos, límites prediales, etcétera).

Fuente: 
Instituto Nacional de Estadística y Geografía. (2010). Manual de Cartografía Geoestadística. México: INEGI.

"
36,Área Geoestadística Urbana,"Área geográfica ocupada por un conjunto de manzanas, generalmente de 1 a 50, perfectamente delimitadas por calles, avenidas, andadores o cualquier otro rasgo de fácil identificación en el terreno y cuyo uso del suelo es principalmente habitacional, industrial, de servicios, comercial, etcétera. Sólo se asignan al interior de las localidades urbanas.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2010). Manual de Cartografía Geoestadística. México: INEGI.

"
37,Área inundable,"Extensión del terreno contiguo a lagos, lagunas, vasos de presas y bordos, que en épocas de lluvias está cubierta de agua y en épocas de estiaje retiene humedad, puede coincidir con el nivel máximo de los cuerpos de agua.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2014). Diccionario de Datos de Cuerpos de Agua Escala 1:50 000. México: INEGI.

"
38,Áreas naturales protegidas,"Son zonas del territorio nacional y aquéllas sobre las que la nación ejerce su soberanía y jurisdicción, en donde los ambientes originales no han sido significativamente alterados por la actividad del ser humano o que requieren ser preservadas y restauradas. (LGEEPA).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
39,Área no urbanizable,"Superficie que, en razón de su naturaleza, función o destino, no debe incorporarse al desarrollo urbano, o esté sujeta a restricciones en su aprovechamiento.

Fuente: 
Secretaría de Desarrollo Sustentable. (2000). Ley de Ordenamiento Territorial y Desarrollo Urbano Sustentable del Estado de Morelos. Morelos: Periódico Oficial del Gobierno del Estado de Morelos.

"
40,Área rural,"Superficie de suelo en estado natural con usos agropecuarios o extractivos que puede o no ser colindante con el área urbana o urbanizada y que no está conectada a las redes de infraestructura y servicios públicos.

Fuente: 
Gobierno del Estado de Nuevo León. (2016). Ley de Desarrollo Urbano del Estado de Nuevo León. Nuevo León: H. Congreso del Estado de Nuevo León.

"
41,Área urbana,"Es la ciudad propiamente dicha, definida desde todos los puntos de vista: geográfico, ecológico, demográfico, social, económico, etc. excepto el político o administrativo.

Fuente: 
Habitat International Coalition. América Latina (HIC-AL). Glosario. 18 de diciembre de 2017, de HIC-AL.

Sitio(s) web:
http://www.municipiopabellonags.gob.mx/docs/TRANSPARENCIA/27_PLANES_DE_DESARROLLO_URBANO/E
"
42,Área urbanizable,"Territorio para el crecimiento urbano, contiguo a los límites del Área Urbanizada del Centro de Población determinado en los planes o programas de Desarrollo Urbano, cuya extensión y superficie se calcula en función de las necesidades del nuevo suelo indispensable para su expansión.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. II).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
43,Área verde,"Superficie cubierta por vegetación natural o inducida cuyos excedentes de lluvia o riego pueden infiltrarse al suelo natural.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
44,Arroyo,"Curso de agua, generalmente pequeño o en formación, de escurrimiento permanente o intermitente.

Fuente: 
Inventario Nacional de Humedales de México. (2012). Glosario General de Términos del Desarrollo de la Base Metodológica para el Inventario Nacional de Humedales de México. México: SD.

"
45,Asentamiento humano,"El establecimiento de un conglomerado demográfico, con el conjunto de sus sistemas de convivencia, en un área físicamente localizada, considerando dentro de la misma los elementos naturales y las obras materiales que lo integran.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. IV).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
46,Asentamiento humano en zona de riesgo,"El conglomerado demográfico, asentado ya sea conforme a las regulaciones del desarrollo urbano o bien de forma irregular, en algún espacio territorial en el que existe la probabilidad de que se produzca un daño a la población o las construcciones, originado por un fenómeno perturbador de tipo natural o derivado de las actividades humanas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
47,Asentamiento humano irregular,"El conglomerado demográfico, ubicado en áreas o predios fraccionados o subdivididos sin la autorización correspondiente, cualesquiera que sea su régimen de tenencia de la tierra o se ubique en zonas de restricción, riesgos o de amortiguamiento.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
48,Atlas de riesgos,"Se refiere a una herramienta que integra información cartográfica y estadística, útil en la elaboración de planes de prevención y auxilio, oportuna toma de decisiones en caso de desastre, así como auxiliar en la integración de otro tipo de trabajos encaminados al desarrollo estatal, procuración de justicia y seguridad pública.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
49,Autorización urbanística,"Es el acto de autoridad urbana que otorga una acción de hacer de carácter permanente respecto de un derecho preexistente del solicitante, como: fraccionamiento, condominio, subdivisión y fusión de áreas o predios.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
50,Avenida,"Vía pública de continuidad considerable con dos o más carriles de rodaje e intersecciones a nivel que sirve de acceso peatonal y vehicular a las áreas importantes de la ciudad.

Fuente: 
Estado Libre Asociado de Puerto Rico. Oficina del Gobernador. Junta de Planificación. Glosario de términos de los Reglamentos de Planificación. Pág. 20.

Sitio(s) web:
https://silo.tips/download/glosario-de-terminos-de
"
51,Banqueta,"Franja pavimentada delimitada entre el límite de los predios y el arroyo vial, que garantiza la circulación adecuada de las y los peatones.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (SEDATU). PROYECTO de Norma Oficial Mexicana de Espacios públicos en los asentamientos humanos. Ciudad de México: S/D.

"
52,Barrio,"Zona de una ciudad o poblado sin una división legal; sus límites los estableció la costumbre y el tiempo; su principal característica es que sus habitantes viven en estrecho contacto.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Diccionario de Datos de Localidades Urbanas (Vectorial).

Sitio(s) web:
http://recursos.inegi.org.mx/geo/contenidos/urbana/doc/diccionario_datos_localidades_urbanas_ver_definitiva_se
"
53,Bien inmueble,"Son todos aquellos terrenos con o sin construcción que sean propiedad de la Administración pública de la entidad federativa, así como de aquellos en que ejerza la posesión, control o administración a título de dueño y, que sean destinados al servicio de esta, con el propósito de utilizarse en la prestación de un servicio público a cargo de estos.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
54,Bienes públicos,"Los bienes públicos tienen como principal característica el no poderse ajustar a un mercado debido a la imposibilidad de los proveedores privados de excluir a aquellos que no pagan por ellos. Esta característica hace que los bienes públicos sean una falla de mercado y, por lo tanto, para su provisión se requiere que el Estado intervenga. Los ejemplos más claros de bienes públicos puros son el alumbrado público y la seguridad nacional.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2015.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=ENCIG2019
"
55,Biodiversidad,"La variabilidad de organismos vivos de cualquier fuente, incluidos entre otros, los ecosistemas terrestres, marinos y otros ecosistemas acuáticos y los complejos ecológicos de los que forman parte; comprende la diversidad dentro de cada especie, entre las especies y de los ecosistemas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
56,Bosque de coníferas y encinos,"Conjunto de árboles en climas fríos y semifríos con altitudes que van de los 2 000 a los 3 400 m sobre el nivel del mar de la mayoría de las sierras del país, principalmente en el Eje Neovolcánico. Muchos de estos bosques están considerados parques nacionales para preservar la cubierta vegetal; otros se aprovechan para la producción de madera.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
57,Bosque de montaña,"Se localiza en la zona templada húmeda del país, en las regiones montañosas muy altas con altitudes que van de los 600 a los 2 700 m sobre el nivel del mar. Con frecuencia existen nubes a la altura de la vegetación.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
58,Bosque de pino,"Vegetación arbórea, principalmente de zonas templadas y semifrías, en climas subhúmedos a muy húmedos. Formado por especies del género pinus.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
59,Brecha,"Camino estrecho y sin asfaltar hecho por el hombre, su piso es de tierra o pedregoso.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
60,Cabecera municipal,"Localidad donde radica la autoridad municipal, es decir, las personas que fueron elegidas para gobernar un determinado municipio de alguna entidad federativa.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
61,Calidad de la vivienda,"Es la percepción y valoración que diversos observadores y participantes le asignan al total y a los componentes (como el material que se usa en los pisos, los muros y el techo de la vivienda).

Fuente: 
Definición elaborada con base en la consulta y análisis de la medición de la pobreza de CONEVAL y definiciones internacionales de la calidad de la vivienda.

"
62,Calidad de vida,"Son aquellos aspectos que se refiere a las condiciones generales de vida individual y colectiva: vivienda, salud, educación, cultura esparcimiento, alimentación, etcétera.

Fuente: 
Instituto Nacional de Ecología (INE). Glosario de términos sobre asentamiento humanos.

Sitio(s) web:
https://infoinvi.uchilefau.cl/glosario/calidad-de-vida/
"
63,Calidad del aire,"Compilación que describe la relación entre varias concentraciones de contaminantes en el aire y sus efectos adversos a la salud.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
64,Calle,"Son los espacios más o menos estrechos, lineales, enmarcados por construcciones que se encuentran en todo tipo de asentamientos y son usados para la circulación y otras actividades.

Fuente: 
SD. (SD). La Calle como Escenario. México: SD.

"
65,Calle completa,"Redistribución del espacio de la vialidad para permitir el acceso seguro para todas las personas usuarias: peatones, ciclistas, personas usuarias de transporte público y automovilistas de todas edades y habilidades.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

"
66,Calle integral,"Espacio del entorno urbano que cuenta con elementos de infraestructura básica e infraestructura complementaria además de movilidad segura, eficiente e incluyente para personas con discapacidad, peatones, ciclistas y vehículos.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

"
67,Cambio climático,"Cambio de clima atribuido, directa o indirectamente, a la actividad humana, que altera la composición de la atmósfera mundial y que se suma a la variabilidad natural del clima observada durante períodos de tiempo comparables.

Fuente: 
Naciones Unidas. (1992). Convención Marco de las Naciones Unidas Sobre el Cambio Climático. Nueva York: Naciones Unidas.

"
68,Cambio en el uso del suelo,"Se origina cuando las superficies o zonas forestales se destinan a otras actividades.

Fuente: 
Instituto Nacional de Estadística y Geografía. (SD). Cuentas Económicas y Ecológicas de México Glosario. México: INEGI.

"
69,Camellón,"Banqueta central de una vía pública que divide en dos cuerpos el arroyo de una calle.

Fuente: 
Dirección de Transparencia y Buenas Prácticas. (2015). Glosario del Ayuntamiento de Guadalajara. México. Ayuntamiento de Guadalajara.

"
70,Carretera,"Vialidad que se comunica con otras localidades. Se incluyen las carreteras pavimentadas y de terracería, siempre y cuando estén limitando la manzana.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
71,Carretera federal,"Vía de comunicación pavimentada para el tránsito del transporte terrestre; debido a que cruza el territorio de diferentes entidades federativas, su seguridad y mantenimiento depende del gobierno federal.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
